0001 account 1
0002 added 2
0003 additional 1
0004 agency 1
0005 aggressive 1
0006 ago 1
0007 allen 1
0008 allowed 2
0009 announced 3
0010 answer 1
0011 arctic 1
0012 area 2
0013 assists 1
0014 attempts 1
0015 attract 1
0016 august 2
0017 average 1
0018 ban 1
0019 bank 2
0020 barak 1
0021 barents 2
0022 baron 1
0023 basket 1
0024 baskets 2
0025 bc 1
0026 begin 2
0027 bell 2
0028 best 1
0029 big 3
0030 billets 1
0031 board 3
0032 boards 1
0033 bodies 6
0034 boston 3
0035 broke 1
0036 brown 2
0037 browns 1
0038 bruised 1
0039 bucks 7
0040 built 2
0041 burst 1
0042 caffey 3
0043 called 1
0044 came 2
0045 camera 1
0046 campbell 2
0047 case 1
0048 cassell 5
0049 causes 1
0050 center 1
0051 central 1
0052 charlotte 6
0053 chiefs 1
0054 chinese 1
0055 christian 1
0056 clear 1
0057 closed 1
0058 coleman 2
0059 college 3
0060 combined 2
0061 commission 1
0062 companies 1
0063 concert 1
0064 conditions 2
0065 confidential 1
0066 continuted 1
0067 council 1
0068 court 1
0069 crew 2
0070 crowd 1
0071 dancing 1
0072 dangerous 1
0073 data 1
0074 david 1
0075 davis 1
0076 dec 1
0077 decided 1
0078 decision 2
0079 decisive 2
0080 defeated 1
0081 defender 1
0082 defense 1
0083 delegation 1
0084 depth 1
0085 deputy 2
0086 derrick 1
0087 digits 1
0088 disaster 2
0089 division 1
0090 does 2
0091 double 1
0092 doubt 1
0093 drew 1
0094 drives 1
0095 driving 1
0096 duke 1
0097 dumps 1
0098 dunk 1
0099 eagles 4
0100 early 1
0101 east 1
0102 easts 1
0103 egyptian 1
0104 ehud 1
0105 elden 1
0106 entering 1
0107 entice 1
0108 environment 1
0109 estimated 1
0110 estradas 1
0111 exclude 1
0112 explosion 1
0113 extended 1
0114 face 1
0115 faminelate 1
0116 fans 1
0117 feastearly 1
0118 field 1
0119 final 1
0120 finished 1
0121 fireworks 1
0122 firm 1
0123 flu 1
0124 forcing 1
0125 foreign 1
0126 forward 1
0127 foul 1
0128 fourth 2
0129 fragile 1
0130 free 4
0131 freezes 1
0132 friday 1
0133 fuel 2
0134 galapagos 1
0135 gallons 1
0136 game 8
0137 games 5
0138 general 1
0139 german 1
0140 glenn 1
0141 goaltending 1
0142 going 1
0143 good 1
0144 government 1
0145 govt 1
0146 gradually 1
0147 grew 1
0148 group 1
0149 half 2
0150 halftime 2
0151 harley 1
0152 help 1
0153 helped 1
0154 hindu 1
0155 hit 2
0156 holding 1
0157 hornets 9
0158 hurt 1
0159 ilya 2
0160 improved 1
0161 incentive 1
0162 incident 2
0163 increase 1
0164 intensity 1
0165 interfax 1
0166 islands 1
0167 israel 1
0168 israelis 1
0169 issue 2
0170 ivanov 3
0171 jamal 1
0172 jason 1
0173 jumper 1
0174 just 2
0175 keeps 1
0176 kenny 1
0177 key 1
0178 killed 2
0179 klebanov 2
0180 knee 1
0181 knights 1
0182 kursk 4
0183 lane 1
0184 larger 1
0185 late 1
0186 layup 1
0187 lead 6
0188 leaders 1
0189 league 1
0190 led 2
0191 left 2
0192 lift 1
0193 lifting 2
0194 line 1
0195 lions 1
0196 little 1
0197 living 1
0198 loose 1
0199 loser 1
0200 losing 1
0201 lost 2
0202 lowpost 1
0203 lunar 1
0204 man 1
0205 marine 1
0206 mashburn 2
0207 matter 2
0208 metres 1
0209 military 1
0210 milwaukee 3
0211 minister 3
0212 minutes 1
0213 miss 1
0214 monks 1
0215 moral 1
0216 mount 1
0217 music 1
0218 naked 1
0219 national 1
0220 ncaa 1
0221 new 2
0222 night 1
0223 nonlift 1
0224 notes 1
0225 nuclear 2
0226 occasions 1
0227 occurred 1
0228 offense 1
0229 opponent 1
0230 order 1
0231 otis 1
0232 p.j 1
0233 pacific 1
0234 pair 1
0235 peace 1
0236 percent 4
0237 perform 1
0238 persons 1
0239 place 2
0240 play 2
0241 plunge 1
0242 pointed 1
0243 pointers 1
0244 pointing 2
0245 points 9
0246 poor 2
0247 postponed 2
0248 precedent 1
0249 presence 1
0250 prime 3
0251 principles 1
0252 priority 1
0253 process 4
0254 public 1
0255 pulled 1
0256 quarter 4
0257 quoted 1
0258 ranked 1
0259 ray 1
0260 rebounds 1
0261 recalls 1
0262 recover 1
0263 redeemed 1
0264 relieve 1
0265 remaining 1
0266 remains 1
0267 remnants 1
0268 reserve 1
0269 resort 1
0270 rest 1
0271 risky 1
0272 river 1
0273 road 1
0274 robinson 1
0275 routine 1
0276 rule 1
0277 run 5
0278 russia 4
0279 russian 7
0280 rutgers 4
0281 ryan 1
0282 said 3
0283 sailors 1
0284 salvage 6
